age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
Missing,423,16/07/2020,0.1,0,0,0
0-17,31953,17/07/2020,8.5,0,0,22.5
18-49,225279,17/07/2020,60,491,6.5,43.5
50-64,73362,17/07/2020,19.5,1294,17.2,18.4
65+,44297,17/07/2020,11.8,5745,76.3,15.6
Missing,472,17/07/2020,0.1,0,0,0
0-17,32913,18/07/2020,8.6,0,0,22.5
18-49,231171,18/07/2020,60.1,505,6.6,43.5
50-64,74999,18/07/2020,19.5,1306,17.1,18.4
65+,45166,18/07/2020,11.7,5809,76.2,15.6
Missing,443,18/07/2020,0.1,0,0,0
0-17,33630,19/07/2020,8.6,0,0,22.5
18-49,235513,19/07/2020,60.2,506,6.6,43.5
50-64,76179,19/07/2020,19.5,1311,17.1,18.4
65+,45759,19/07/2020,11.7,5834,76.3,15.6
Missing,457,19/07/2020,0.1,0,0,0
0-17,34617,20/07/2020,8.6,0,0,22.5
18-49,241406,20/07/2020,60.2,508,6.6,43.5
50-64,77787,20/07/2020,19.4,1317,17.2,18.4
65+,46495,20/07/2020,11.6,5852,76.2,15.6
Missing,464,20/07/2020,0.1,0,0,0
0-17,35962,21/07/2020,8.7,0,0,22.5
18-49,249412,21/07/2020,60.3,516,6.6,43.5
50-64,80056,21/07/2020,19.4,1337,17.2,18.4
